# problem
-30
-30 partners
about everyone
about furthermore
about hypnosis
about in
about life
about marriage
about me
about mental
about myself
about narcissist
about not
about nothing–not
about people
about psychopaths
about pursuing
about receiving
about seeing
about small
about telling
about therapy
about thinking
about until
about whatever
about which
about who
about working
about would
above she
abrasive
absent father
absent my
absolutely cannot
absolutely need
absolutely nothing
absolutely perfect
absolutely revolting
absolutely terrified
absurd
absurd but
absurd expectations
abuse problems
abuse to
abused shot
abuses herself
abusive language
abusive older
abusive or
abusive parents
academic
academic athletic
academic performance
academically however
accept it
accept my
accept this
acceptance and
accepted into
accepted me
accepted to
accepts
accepts responsibility
accident i
accident or
accomplish in
accounts i
achieve i
achieve what
achievements
achievements and
achievements as
achievements in
acknowledge her
acknowledged in
acne
acne but
acquaintances
acquaintances out
acquiescence
acquiescence which
act and
act half
act more
act mostly
act out
act the
acting
acting cheerfully
acting crazy
acting differently
acting out
acting selfish
action and
action i
action with
actions are
actions for
actions made
actions of
actions to
actions with
activates
activates her
active heart
actor
actual help
actualized
actualized my
actually alive
actually appreciative
actually avoid
actually desire
actually did
actually enjoyed
actually felt
actually harm
actually have
actually i
actually i’m
actually kill
actually making
actually molested
actually often
actually started
actually wanna
acussing
acussing him
acute schizophrenia
adamant i
adaptive
adaptive realistic
addiction a
addiction but
addiction i
additives
additives no
addressed and
adhd but
adhd problems
administer
administer respiratory
admits the
admitted they
admonish
admonish myself
adolescence went
adolescence which
adopted family
adore and
adores not
adult body
adult daighter’s
adults i
advances
advances placement
adventure travel
adventurous
adventurous anxious
advice is
advice it’s
advice that
advice they
advices on
affair he
affairs
affect my
affecting all
affecting those
affection towards
affectionate and
afford our
afraid
afraid because
afraid but
afraid he
afraid if
afraid it
afraid my
afraid not
afraid of
afraid she
afraid she’d
afraid someone
afraid sometimes
afraid that
afraid this
after another
after beginning
after crying
after everything
after failure
after i’m
after looking
after losing
after nearly
after over
after quite
after reading
after some
after yrs
afterward and
afterward definitely
again due
again for
again just
again rather
again slim
again so
again with
against each
against us
age i’ve
age or
age seven
age than
age would
ages about
aggravation it
aggressive behaviors
aggressive but
aggressive in
aggressive numb
agh
agh i
agitated and
ago all
ago b/c
ago drove
ago even
ago have
ago her
ago mom
agreed she
ahead
ahead of
aid
aid me
air becomes
air exhale
air freshener
albeit
albeit not
alcohol every
alienated
alienated but
alienation
alienation seem
alive amd
alive or
all accounts
all agreed
all all
all are
all around
all attempts
all be
all because
all centers
all clear
all communications
all costs
all empytness
all fake
all feeling
all gittery
all hated
all if
all interest
all it
all its
all just
all karma
all knew
all leading
all liked
all men
all motivation
all people
all processed
all say
all so
all solved
all there
all they’ve
all think
all thinking
all those
all throughout
all ties
all twice
all were
all wrong
all-time
all-time low
alleged
alleged malady
allow free-loaders
allow it
allowed him
allowing them
almost 24/7now
almost always
almost certain
almost certanly
almost didn’t
almost every
almost everything
almost hurting
almost killing
almost nightly
almost obsesses
almost the
almost to
alone at
alone but
alone getting
alone let
alone lost
alone without
alone would
along better
already am
already do
already fed
already got
already know
already three
also affected
also afraid
also am
also avoid
also barely
also became
also can’t
also constantly
also convinced
also currently
also deal
also deathly
also depresses
also developed
also extremely
also feel
also getting
also go
also if
also incredibly
also it
also made
also many
also nervous
also paranoid
also plays
also rarely
also ridiculously
also seemed
also thought
also undergone
also wants
also with
alter
alter my
alternative
alternative holistic
alternative lifestyle
although this
although we’ve
alwasy
alwasy on
always acussing
always all
always anxious
always blamed
always busy
always comments
always considered
always cry
always crying
always dealt
always depressed
always do
always doubting
always either
always end
always ends
always expected
always fail
always fair
always feel
always fimilar
always forgave
always forgive
always gets
always go
always happy
always imagining
always judging
always leads
always lie
always looks
always mopey
always my
always needed
always negative
always not
always on
always own
always paranoids
always put
always remained
always replying
always resented
always ruining
always seem
always stares
always suggests
always supposed
always sure
always tell
always think
always thinking
always this
always thought
always treated
always tries
always triggered
always unlucky
always very
always viewed
always want
always wants
always was
always wondered
always worried
always worry
always worrying
always wrong
always yell
alzheimer’s
alzheimer’s and
am accused
am afraid
am already
am always
am angry
am antisocial
am anxious
am apologizing
am around
am asking
am bad
am become
am being
am beyond
am calm
am cautious
am certain
am cocky
am constantly
am convinced
am crazy
am crippled
am cursed
am dead
am dealing
am delusional
am desparately
am desperately
am devastated
am developing
am distinctly
am doesn’t
am doomed
am dying
am either
am ever
am fat
am feeling
am filled
am free
am fun
am going
am good
am happy
am healed
am hesitant
am highly
am honestly
am hopelessly
am horrified
am hyperactive
am im
am impossible
am incredibly
am inevitably
am is
am kind
am law
am lazy
am lonely
am losing
am lying
am making
am noticing
am over
am partly
am pretty
am pushing
am relieved
am scared
am seeking
am soo
am spending
am stalked
am stupid
am suffocated
am talking
am theorizing
am they’ll
am to
am uncomfortable
am upset
am with
am worthless
amazing guy
amazing over
amazing thing
ambition
ambition or
ambition realism
amd
amd much
amounted
amounted too
an accident
an act
an addiction
an air
an all-time
an attack
an attention
an awful
an be
an educator
an egg
an empath
an enormous
an entire
an environment
an episode
an ex-boyfriend
an excellent
an explanation
an extensive
an extent
an extreme
an extrovert
an identity
an idiot
an idiotic
an impulse
an increase
an indication
an induced
an insecure
an introverted
an intrusive
an invitation
an iq
an on-going
an ordinary
an overachiever
an the
an uber
an ultra-meltdown
an unbearable
analyses
analyses everything
and abuses
and administer
and alienation
and and
and annoyed
and anorexic
and anything
and apologize
and apparently
and appreciates
and arrange
and ashamed
and asleep
and asperger
and aspirations
and bd2
and beaten
and become
and bee
and began
and behave
and behaviors
and bipolari
and bitterness
and blankets
and bored
and bother
and boyfriends
and break
and burst
and cheated
and checking
and closing
and coke
and competing
and completely
and compulsive
and confidence
and consider
and control
and conversations
and crazy
and created
and cruel
and cursing
and cuss
and debate
and defend
and defensive
and delusions
and deservedly
and desires
and different
and discard
and disgusting
and dislike
and distractions
and distrustful
and down
and drive
and drugs
and dull
and dumb
and easily
and embrace
and empathetic
and empathy
and empty
and encouraging
and entire
and envelop
and envy
and erasing
and establish
and every
and everytime
and experience
and explain
and fall
and fantasy
and feel
and first
and flashbacks
and follow
and forgive
and friendships
and full
and gets
and giggly
and girlfriend
and given
and goal-oriented
and going
and good
and griping
and grocery
and guilt
and guilty
and happy
and hate
and hate-filled
and hateful
and hav
and he/she
and headache
and headaches
and heavy
and hiding
and hints
and hopeless
and horrible
and horror
and how’s
and hypocritical
and ideas
and im
and impulsive
and incapable
and inconsistency
and injections
and insistent
and instead
and irritable
and isolate
and isolated
and jealousy
and judge
and judging
and kind-heartedness
and kindergarten
and kiss
and lashes
and lately
and lazy
and leave
and lies
and lifestyles
and like
and list
and listen
and looked
and loss
and lying
and mad
and massive
and may
and meditate
and meet
and meetings
and melancholy
and messier
and miserable
and mostly
and mouths
and mundane
and nagging
and nobody
and nowadays
and numb
and obsessing
and occupy
and oh
and overwhelmed
and parkinson’s
and particularly
and passive
and patience
and people
and pessimistic
and plausible
and poetic
and promise
and psychiatrists
and punish
and push
and rape
and reactions
and reasoning
and recovering
and refusing
and reluctance
and remembering
and resents
and revenge-seeking
and ride
and rip
and ritualized
and robbed
and rot
and ruined
and scream
and seem
and self-harmed
and self-supporting
and selfish
and sensitive
and seriously
and shaking
and shame
and sharing
and shed
and shitty
and shouldn’t
and shy
and significant
and similar
and slightly
and small
and small-minded
and spontaneous
and start
and starting
and starts
and steal
and step
and stilted
and stupid
and subsequently
and suddenly
and suffocating
and sulk
and support
and tend
and them
and therapists
and they’ll
and tore
and twitter
and under
and unfulfilled
and unless
and unlovable
and unloved
and unsafe
and unsuitable
and upset
and view
and watching
and whisper
and white
and wholly
and willingly
and winter
and wish
and women
and words
and worried
and worry
and worrying
and worthless
and yet
and/or hurt
angeles
angeles to
anger go
anger me
anger my
anger where
angered or
angry as
angry from
angry frustrated
angry melt
angry or
angry over
angry–trivial
angry–trivial or
anhedonia
anhedonia i’ve
animal had
anime
annoy us
annoyed and
annoyed by
annoyed from
annoying and
annoying emotionally
annoying or
annulment
annulment of
anorexia very
anorexic to
another at
another breakdown
another disturbing
another inch
another language
another patient
another pregnancy
another relationship
another sometimes
another thing
answer but
answer his
answer my
answered my
answered now
answering a
answers as
anti-depressants
anti-depressants for
anti-social
anti-social i’m
anti-social so
antisocial and
antisocial because
antisocial or
anxiety alone
anxiety even
anxiety from
anxiety in
anxiety insomnia
anxiety like
anxiety sadness
anxiety screaming
anxiety thing
anxiety too
anxiety when
anxious
anxious about
anxious around
anxious for
anxious is
anxious i’m
anxious kid
anxious my
anxious that
anxious thoughts
anxious when
anxious yet
any academic
any attention
any better
any bpdy
any chance
any comments
any desires
any doctors
any emotions
any experience
any food
any happier
any ideas
any initiative
any instinct
any laughs
any likes
any literally
any longer
any motion
any movie
any passion
any progress
any remorse
any sense
any simple
any social
any special
any talent
any they
any time
any urges
anybody and
anybody i
anyhing
anyhing rediculous
anyhow
anymore because
anymore either
anymore since
anymore the
anyone again
anyone because
anyone besides
anyone every
anyone for
anyone if
anyone like
anyone or
anyone says
anyone this
anyone what
anyone who’s
anyone-
anyone- my
anything around
anything at
anything bad
anything but
anything done
anything everyone
anything except
anything happening
anything has
anything it
anything i’m
anything just
anything makes
anything not
anything or
anything productive
anything remotely
anything right
anything self
anything similar
anything so
anything started
anything that
anything will
anything with
anything…
anything… it’s
anytime
anytime anyone
anytime so
anytime soon
anyway it’s
anyway these
anyways i
anywhere at
ap
ap language
apart even
apart for
apart we
apartment i
apartment in
apartment to
apathetic
apathetic at
apathetic irritable
apathetic the
apathy
apathy and
apologize and
apologize when
apologizing to
app i
apparent reason
apparently dissociate
apparently ignore
appear sane
appearance or
applications
applications writing
apply myself
appointment no
appointments so
appreciate having
appreciate me
appreciate my
appreciates me
approach it
approach people
approaches to
approve of
approved
approved my
are acting
are angry
are antisocial
are balancing
are because
are being
are cameras
are childlike
are confused
are conspiring
are crying
are depressed
are desperate
are different
are discussing
are disrupted
are driving
are dying
are experiencing
are family
are futile
are gone
are good
are hardly
are haunting
are ignoring
are killing
are kinda
are made-up
are meeting
are movements
are my
are once
are perfect
are poor
are processed
are professionals
are real
are recovering
are saying
are scattered
are school
are self-centered
are self-diagnosed
are seperated
are sick
are sneaking
are so
are some
are staring
are strong
are such
are suddenly
are supposed
are telling
are terrible
are times
are wrong
aren’t a
aren’t disturbing
aren’t important
aren’t scared
aren’t wired
argue about
argued
argued always
argued every
argued never
arguing soo
argument all
argument i
argument or
arguments always
arm on
around as
around awhile
around corners
around friends/loved
around just
around much
around others
around which
around you
arousal
arousal to
aroused over
arousing and
arrange a
arrested for
arrived through
arrogant
arrogant as
art
art like
art outwardly
art teacher
artist
artist friend
artistic
artistic and
artistic talent
arts-related
arts-related interests
as call
as characteristics
as contaminated
as ever
as fast
as fit
as hell
as human
as indecency
as insult
as intrusive
as i’d
as kind
as loving
as many
as my
as nate
as never
as nice
as not
as often
as others
as part
as people
as per
as sexual
as silly
as small
as social
as talented
as their
as though
as unattractive
as vulnerable
as waiting
as weed
as weird
as with
ashamed
ashamed after
ashamed and
ashamed of
ashamed that
aside or
ask but
ask for
ask i
ask me
ask my
ask questions
ask someone
ask them
asking because
asking people
asking them
asking this
asks how
asleep because
aslo
aslo tried
aspect in
aspirations
aspirations but
ass and
assault and
assert
assert as
assignment
assignment they
associate themselves
associated problem
assume
assume people
assume that
assuming everyone
assuming this
assumptions
assumptions because
assuring another
at 3am
at anyone
at dealing
at don’t
at each
at everyone
at everything
at flipping
at heart
at i
at little
at math
at myself
at not
at people
at realized
at showing
at so
at visualizing
at y
ate hotdogs/hamburgers/chicken
athlete
athletic
athletic or
attack when
attack would
attacks a
attacks and
attacks but
attacks i
attacks multiple
attacks my
attacks since
attacks that
attacks with
attempting to
attempts in
attend one
attending it
attention and
attention because
attention but
attention leaving
attention let
attention like
attention only
attention seeker
attention seeking
attention so
attentive and
attitude and
attitude i
attitude started
attraction is
attributed
attributed his
audition
audition they
aunt for
aunt i
aunt seems
authority or
automaticly
automaticly turn
autopilot for
average it
avoid cooking
avoid going
avoid human
avoid meeting
avoid these
avoidance
avoidance having
avoided
avoiding
avoiding doesn’t
avoiding me
awake
awake in
award
award my
award they
awards
awards as
aware knowledge
away by
away even
away forever
away into
away talking
away where
awful days
awful friend
awful thoughts
awhile and
awhile i
awhile my
awhile so
awkward and
awkward when
b/c he
babies no
baby cause
baby is
baby together
back all
back immediately
back it
back not
back only
back or
back shadows
back some
back up
bad a
bad about
bad actor
bad bc
bad because
bad cough
bad day
bad depression
bad driver
bad habit
bad idea
bad it
bad like
bad memory
bad mood
bad mother
bad or
bad outcome
bad panic
bad parent
bad past
bad person
bad relationships
bad separation
bad sibling
bad side
bad stuff
bad that
bad thing
bad things
bad to
bad will
bad writer
badly i
bad…
bad… started
bake
bake bread
baker
baker friend
baking
balance
balancing
balancing advances
ball and
ball at
bang i’m
barely eat
barely respond
barely see
barista
barista i
barley a
bartender
basically a
basically give
basically im
basically just
basically taking
basically why
basically will
basis and
basis no
basketball
basketball team
bastard
bastard who
bates
bates me
bathroom curtain
bawling
bawling and
bc
bc i’m
bc she
bd2
bd2 and
be 50/50
be about
be academically
be adamant
be adaptive
be adventurous
be affectionate
be after
be always
be annoying
be appreciated
be around
be arrested
be artistic
be at
be athletic
be bad
be better
be boring
be brutally
be but
be by
be cares
be clever
be close
be competent
be crafty
be creative
be cultured
be dead
be desirable
be different
be easier
be engaging
be entertaining
be even
be far
be fashionable
be feeling
be free
be friendly
be fufilled
be funny
be gay
be getting
be good
be graphic
be happy
be heartbreaking
be highly
be ignored
be important
be impressive
be incompetent
be influential
be innovative
be insomnia
be insulting
be intelligent
be interested
be interesting
be judged
be kicked
be late
be laughed
be likable
be liked
be living
be locked
be mad
be mellow
be messing
be misread
be monitored
be musical
be naked
be no
be okey
be on…
be or
be out
be outdated
be people
be persuasive
be popular
be possessed
be professional
be really
be receiving
be related
be reliant
be repaired
be rude
be sad
be sad…
be satisfied
be schizophrenic
be selfish
be sick
be simply
be skilled
be slipping
be slow
be smart
be socially
be something
be staying
be stopped
be strategic
be stylish
be subjected
be submissive
be successful
be suspicious
be talented
be talking
be ten
be tested
be this
be true
be truly
be unable
be unattractive
be uninteresting
be unlikable
be unlovable
be unqualified
be untalented
be up
be valued
be weak
be well-read
be why
be worrying
be worth
beach or
beach so
bear hearing
beat myself
beat up
beautiful skin
beautiful soul
beautiful two-year
beauty
beauty with
became each
became extremely
became full-fledged
became like
became really
became worried
because all
because anyway
because for
because god
because i'm
because if
because im
because i’m
because i’ve
because little
because maybe
because next
because nothing
because obviously
because our
because school
because she’s
because then
because they’ll
become clear
become depressed
become disrespectful
become from
become frustrated
become hysterical
become intense
become lazy
become like
become my
become rather
become reluctant
become skinnier
become tearful
become the
become too
become vegetarian
become worried
becomes a
becomes defensive
becomes thick
becomes unmanageable
becomes violent
becoming an
becoming extremely
becoming hard
bed because
bed for
bed massage
bed the
bedroom without
bee
bee i
bee keeping
been 24/7
been 2years
been addressed
been afraid
been bombarded
been breaking
been bullied
been burnt
been but
been certain
been commuting
been drawn
been emotionally
been estranged
been facing
been fake
been fighting
been finding
been fragile
been growing
been happy
been hating
been hell
been honest
been hooking
been hurt
been hypervigilant
been impulsive
been intimate
been kind
been less
been many
been obssesing
been perfect
been plagued
been playing
been promoted
been recently
been retired
been satisfied
been shifting
been socially
been someone
been times
been tormenting
been under
been wanting
been washed
been worried
before college
before depression
before escaping
before grandparents
before him
before starting
before that
before things
before when
befriends
befriends with
began convincing
began hyperventilating
began ruminating
begging them
begin from
begin this
begin with
beginners
beginners ap
beginning stages
beginning the
begun at
begun reading
behave and
behave well
behaved recklessly
behaved very
behaving like
behavior directly
behavior started
behavior was
behavior while
behaviors are
behaviors did
behaviors i’m
behaviors like
behaviors that
behavior…
behavior… why
behaviour can
behaviour odd
behind bars
behind me
behind the
behind them
being abandoned
being as
being attention
being chosen
being considered
being constantly
being different
being disrespectful
being done
being dramatic
being dumb
being embarrassed
being generaly
being happy
being honest
being hostile
being included
being jealous
being laughed
being like
being married
being overly
being pitied
being pregnant
being properly
being punched
being raised
being reminded
being rotten
being screamed
being see
being set
being sexually
being silly
being skeptical
being sorry
being stupid
being these
being totally
being wasted
belief are
beliefs
beliefs anywhere
beliefs are
believe bullying
believe but
believe everyone
believe it
believe people
believe she
believe things
believe to
believe what
believes me
believes that
believing them
belly
belly never
belonged
belonged in
benedryl
benedryl i
benefit more
berate
berate myself
besides him
besides ifv
best dr
best family
best looking
best option
best schools
best suitable
betrayed
betrayed and
betrayed i
betrayed me
betraying my
better any
better at
better connect
better daughter
better either
better for
better grades
better i
better i’m
better not
better or
better term
better things
better work
between early
between for
between myself
between your
beverages
beverages he
beyond antisocial
beyond my
bf went
bibliophile
bibliophile friend
big annoyance
big deal
big health
big house
big part
bigger person
biggest role
biking
biking emailed/chatted
bills retirement
biology
biology and
bipolar but
bipolar depression
bipolar extremely
bipolari
bipolari don’t
birds the
birthday comes
birthday wishes
birthdays
birthdays or
bit older
bit selfish
bit strong
bit worse
bitterness
bitterness has
bizare
bizare as
bizarre
bizarre usually
black cloud
black screen
blame
blame everyone
blame him
blame myself
blame on
blamed me
blamed this
blaming it
blank and
blank out
blank when
blankets
blatantly choosing
bleed a
blindly
blindly for
blinks
blinks my
block for
block on
blocking it
blog
blog post
blood suicide
blowing
blowing my
blown crisis
blunt
blunt end
blunt i
blur
blur in
blurry just
blurry to
board i
boarding
boarding school
boards seem
body also
body dysmorphia
body etc
body like
body no
body somewhere
body with
bold in
bomb and
bombarded
bombarded with
bonus
bonus my
boobs
boobs but
book club
books as
book’
book’ but
book…
book… ever
borderline schizophrenia
boredom or
boring
boring and
boring person
born failure
born i’ve
born this
boss
boss didn't
botanist
botanist friend
both as
both feeling
both had
both her
both just
both love
both see
bother after
bother like
bother to
bother trying
bothering me
box filled
boy about
boy comments
boyfred
boyfred and
boyfriend after
boyfriend cheating
boyfriend criticizes
boyfriend didn't
boyfriend doesn’t
boyfriend online
boyfriend should
boyfriends and
boyfriend’s mother
boys they
bpdy
bpdy because
brags
brags about
brain constantly
brain feels
brain haven’t
brain health
brain in
brain is
brain/fuzzy/hazy/heavy
brains
brains women
brake
brake in
bread
break away
break things
breakdown and
breakdown in
breakdown or
breaking in
breaking into
breaking promises
breakout
breakout in
breaks and
breaks up
breakup although
breast get
breath
breath and
breath heavy
breath saliva
breathe or
breathed
breathed near
breathing heck
breathing on
bridesmaid
brief episodes
briefly my
brilliant and
bring everything
bring me
bring up
bringing me
bringing this
bringing with
brings no
broke down
broken and
broken to
broken traumatized
brother also
brother always
brother because
brother comes
brother different
brother if
brother stuff
brothers are
brought a
brunt
brunt of
brush my
buckling
buckling down
bug how
bug i
bugged
bugged our
bugged the
building etc
builds
builds in
bullied and
bullied at
bullied me
bullying and
bullying assault
bullying at
burden
burden for
burden to
burn for
burning passion
burnt into
burst out
bursting
bursting into
bus
bus talking
business with
busy monitoring
but a
but accept
but are
but before
but blur
but break
but doesn’t
but dont
but don’t
but draw
but ever
but expects
but fear
but feel
but hasnt
but heavyness
but isn’t
but issues
but jokes
but may
but need
but ordinarily
but regularly
but seem
but small
but sometime
but sometimes
but struggled
but thankfully
but thats
but things-
but truth
but usually
buy me
buying in
by and
by car
by dysfunctional
by emotional/cognitive/social/personality
by even
by having
by he
by insomnia
by intrusive
by i’ve
by letting
by loneliness
by other
by others
by partying
by picking
by playing
by sex
by sleeping
by taking
by their
c and
c did
c instantly
c-ptsd
c-ptsd another
c-ptsd symptomps
c-section
c-section and
cake didn't
cakes
calculated and
cali and
call cps
call myself
call off
call only
call paranoid
call saying
call social
callback
callback for
called image
called life
calling them
calls her
calls to
calm but
calm i’m
calm the
calm to
calm tone
came around
camera in
cameras everywhere
can afford
can automaticly
can buy
can change
can conclude
can controle
can cry
can form
can gain
can hear
can hurt
can ignore
can just
can keep
can live
can lose
can love
can never
can over
can pay
can pity
can process
can put
can reconnect
can replace
can restate
can say
can seem
can separate
can she
can somewhat
can stop
can tell
can to
can visualize
can't
can't afford
can't bake
can't code
can't cook
can't create
can't dance
can't decorate
can't do
can't draw
can't fix
can't juggle
can't knit
can't make
can't paint
can't perform
can't play
can't prepare
can't run
can't sing
can't solve
can't speak
can't swim
can't write
canceled to
cancer because
cancer fears
cannot be
cannot bear
cannot commit
cannot communicate
cannot concentrate
cannot control
cannot enjoy
cannot express
cannot feel
cannot function
cannot hold
cannot i
cannot just
cannot make
cannot overcome
cannot say
cannot see
cannot seem
cannot understand
cant
cant be
cant breath
cant contain
cant controle
cant controll
cant do
cant focus
cant get
cant go
cant help
cant hold
cant look
cant move
cant pay
cant really
cant sleep
cant speak
cant study
cant talk
cant the
cant they
cant truly
cant trust
can’t act
can’t concentrate…
can’t constantly
can’t define
can’t eat
can’t enjoy
can’t enter
can’t face
can’t focus
can’t go
can’t grasp
can’t handle
can’t have
can’t help
can’t hold
can’t however
can’t i
can’t just
can’t keep
can’t leave
can’t make
can’t organise
can’t prepare
can’t produce
can’t rid
can’t save
can’t say
can’t seem
can’t shake
can’t sleeping
can’t socialize
can’t speak
can’t stop
can’t tell
can’t turn
can’t work
capabilities
capable
capable of
car hit
car i
car together
car were
care about
care all
care at
care enough
care how
care on
care or
care that
care what
career as
career field
career i
career or
carefree it
cares
cares about
cares the
cares until
cares what
caring a
caring are
caring but
caring enough
caring loving
caring understanding
carries
carries such
carry her
carving
carving my
car…
car… are
case because
case scenarios
case scenario…it
case she
catastrophize
catastrophize for
catch up
catcher
catcher in
catches
catches a
caught out
cause i
cause it
cause me
cause of
cause panic
cause psychosis
cause they’ll
caused it
caused severe
caused terrible
causes him
causing me
cautious yet
cave with
celebrity childhood
centers
centers around
certain about
certain conditions
certain hobby
certain that
certain topics
certanly
certanly end
certificates
certificates as
challenge her
challenging and
challenging us
chance for
chance she
chances that
change and
change because
change even
change happen
change i
change my
change that
changed forever
changed from
changed with
changed…
changed… she
changing i
changing made
changing one
chaotic
chaotic household
characteristics
characteristics of
characterized
characterized by
cheat or
cheated lied
cheater
cheater and
cheat–there
cheat–there will
check closets
check myself
checked his
checking doors
cheerful
cheerful and
cheerfully
cheerfully and
cheers
cheers people
chef
chef friend
chess
chess as
child to
child who
child witch
child-like
child-like state
childhood experiences
childhood family
childhood friend
childhood idol
childhood regardless
childhood she
childhood that
childhood until
childhood with
childish vapid
childlike
childlike and
children ages
children as
children because
children feel
child’s father
chocked
chocked me
choice but
choice i
choice i’ve
choices have
choices led
choir
choir friend
choir i
choose
choose me
choose my
choose sides
choosing
choosing things
chosen
chosen for
chosen over
chosen to
christian parents
christian upbringing
christmas parties
chronic depression
cinema
cinema i
circle of
circumstances beyond
city is
claims court
claims he’s
class are
class at
class because
class before
class but
class makes
class mates
class no
classes but
classic
classic music
classify
classify my
classifying
classifying my
classmate
classmate didn't
classmate i
classmates didn't
classmates must
classroom
classroom several
clean and
clean my
clear signs
clear to
clearly have
clearly stating
clearly upset
clever
clingy
clingy i
close before
close one
close quickly
close relationships
close ups
closeness between
closet and
closet i
closet scattering
closets
closets and
closing
closing in
clothes as
clothes on
clothing–
clothing– even
cloud
cloud that
clown
clown in
clumsy
clumsy attempts
clumsy than
cnt……
cnt…… spk
co-worker didn't
co-worker’s
co-worker’s house
coast
coast we
coat hypertension
coattails
cocktails
cocktails as
cocky
code
code as
coffee because
cognitive ability
cognitive loss
coke
coke once
cold all
cold on
collapse in
colleague didn't
colleagues
colleagues didn't
collector
college careers
college experience
college focused
come alive
come and
come but
come close
come first
come off
comes a
comes about
comes and
comfort and
comfort eat
comfort them
comfortably more
comforting anymore
comforting best
coming around
comment on
comments and
comments did
comments on
commit to
commitment issues…most
committed those
committees
committees not
common and
common decisions
communicate or
communicating and
communicating i
communicating with
communications
communications are
commuting back
company
company is
company's
compassion you
compatible
compatible with
competent
competing
competing with
competition
competition i
competition my
competition so
competition with
complains over
complete blank
complete failure
complete lie
complete that
complete vegan
completely and
completely apathetic
completely blank
completely change
completely deaf
completely denies
completely depressed
completely destroy
completely done
completely free
completely friendless
completely give
completely honest
completely ignore
completely inappropriate
completely insane
completely irrational
completely lost
completely numb
completely panic
completely selfless
completely shattered
completely sober
completely worthless
completing
completing my
compliment
compliment my
compliments
compliments from
comprehend that
compulsive
compulsive liar
compulsive self
concentrate
concentrate because
concentrate even
concentrate on
concentrate with
concentrate…
concentrate… what
concentration
concentration for
concentration or
concerned with
conclude that
condition attacks
condition because
conditions and
conditions like
conect
conect to
conference
conference my
confidence and
confidence are
confidence before
confidence in
confidence that
confident and
confident at
confident issues
confinement
confirmed because
conflict but
confront it
confrontations
confrontations i
confronted both
confronting
confuse
confuse me
confused if
confused with
congealed
congealed yet
congratulate
congratulate me
connect of
connect with
connection at
connection between
connections
connections to
connectivity
connectivity of
conscience but
conscious but
conscious mind
consequence
conservative christian
consider getting
consider medication
consider my
consider unsupportive
considered attractive
considered running
considering there
consistency
consistency pushing
consistently shown
console her
conspiring
conspiring against
constant autopilot
constant basis
constant daydreaming
constant fear
constant fighting
constant mood
constant state
constantly ask
constantly being
constantly bullied
constantly check
constantly controlled
constantly does
constantly down
constantly either
constantly feels
constantly focus
constantly left
constantly lies
constantly making
constantly paranoid
constantly sad
constantly think
constantly wandering
constantly withdrawn
constantly worry
constructive
constructive conversation
consume because
consume more
consumed with
contact at
contacting is
contain
contain what
contaminated
contaminated by
contaminated for
contemplate
contemplate killing
contempt
contempt towards
content must
content to
contest
contest i
contest my
continue isolating
continue those
contributed to
control about
control everything
control him
control his
control i
control it
control i’ll
control i’m
control myself
control pills
control the
control those
controle
controle electronics
controle my
controll
controll anything
controlled who
controlling myself
controls
controls everything
convenience
convenience i
conversation going
conversation he
conversation it
