Patient Question,Distorted part,Dominant Distortion,Secondary Distortion (Optional)
"My husband and I have been married for over a year now. While we were dating, I thought that he displayed traits of honor, loyalty, integrity, honesty, and kind-heartedness, as well as characteristics of a hard worker, and an overall well-rounded individual. Two months from now, I will have known him for five solid years (for all of which we were a couple).","I thought that he displayed traits of honor, loyalty, integrity, honesty, and kind-heartedness, as well as characteristics of a hard worker, and an overall well-rounded individual.",Labeling,
"I don’t know how to recover from my husband’s psychosis. My husband was psychotic for about a year. It began shortly before our marriage (I attributed his behavior to stress – he owned a business that has since failed) and continued through the birth of our child. The psychotic episode was almost certainly spurred by his use/abuse of prescribed amphetamines (70m Vyvanse a day, 20m Adderal “as needed”) but the psychosis persisted for several months after he stopped the meds.",I attributed his behavior to stress – he owned a business that has since failed,Mind Reading,
" My Mother and I have had a rocky history, mostly as a result of a childhood divorce (my mother cheated on my father, who I have always been extremely close to, and re-married immediately to a younger man) and her alcohol addiction. Subsequently over the years, she received treatment and changed her life, and so we re-established a relationship and have grown close.",,No Distortion,
"I am a 33 year old with a father who is schizophrenic. He was diagnosed as a young adult but remembers hearing voices as early as the age of 13. He is now in his late fifties and he is beyond caring for himself. The last 4 or 5 living situations he was in (apartments) he was evicted for strange behavior like melting cassette tapes in the oven and starting a minor fire and bothering neighbors , including many other things. He stopped with all hygeine practices. He stopped being able to pay bills do to poor money mangement and lack there of. So he squatted with a few friends all of whom eventually sent him packing not at first realizing the extent of his illness. So after every fallout with his friends whom he has been staying with he ends up at my door with a police escort after they find him wandering the cold streets late at night. I live in a 1 bdrm apartment with my girlfriend and two large dogs. I am not equipped to deal with another person in such confined quarters let alone his illness. As you probably have guessed he refuses medication as well as his illness. He has other health issues that I know nothing about and he will not see a doctor, especially with me present. He has a ventalin inhaler that is prescribed to him that he uses way more than he was origanally suppossed to , along with smoking two + packs of cigarettes a day. He can barely walk ten steps without being seriously out of breath. My father needs help that I can’t give him and all the calls I’ve made trying to find help has come to the same roadblock. Someone can’t be forced treatment. I don’t know what to do. This has been going on for years. This is Saturday and he came via police escort Thursday night just before midnight. I had to call off work Friday because I can’t leave him alone at my apartment in fear he will do something and get me evicted, or worse. I’m at the end of my ropes and don’t know what to do. I can’t just send him out on the streets but it is affecting my happiness and comfort in my home which is very important to me. My girlfriend is supportive about it but it has already caused a strain. Sorry for the lengthy note but I really don’t feel like I even grazed the surface. If there is anyway you can help with resources or ideas it would mean the world to me. Thank you.","I had to call off work Friday because I can’t leave him alone at my apartment in fear he will do something and get me evicted, or worse. I’m at the end of my ropes and don’t know what to do.",Fortune-telling,
" My husband and I have been together for almost 10 years and have one child. We are very openminded and compatible sexually, though our sex life has been through some ups and downs as we have grown as people and experienced child birth and child rearing. The first few years of our relationship, we did some wild things sexually, such as public sex, group sex, voyeurism, etc. We both enjoyed ourselves and were equally involved and responsible for our actions. During and after the pregnancy and birth of our child, however, our sex life went through some drastic changes, and we found ourselves with some sexual issues to work through. One of these issues was my newfound disinterest in our old wild ways; motherhood had turned my viewpoint on it from fun to irresponsible. We have gotten over most of the awkwardness that made its way into our bed, but now we are presented with a somewhat „gray area‰ issue. Over the past year or so, my husband has been visiting sexual video chat sites and broadcasting himself in various sexual states, most of the time masturbating, in both public and private online communications. At first he did this secretly, until I found out in a very startling way; I investigated the website that kept appearing in our computer‚s browser history on my phone at work, and was shocked to find a live public video feed of my husband fully aroused. After some obvious conflict over the discovery, we discussed it, and he told me that he missed having our „wild sex life‰ and that this helps fulfill that need. He asked if I would participate, and I agreed in hopes of helping to satisfy his sexual mentality. We broadcast ourselves having sex online a few times, having up to 1000 people watch, which completely turned my husband on and completely turned me off. I decided I wasn‚t going to join him again due to the uneasy feeling it gave me which kept me from enjoying myself. Ever since, I have known in the back of my mind that he still does this, and have gotten up in the middle of the night a few times to find him masturbating and video chatting publicly or with females who are at least scantily clad, if not nude and masturbating themselves. When I confront him about it, he says he has a public sex fetish and needs to fulfill it, believing that it helps keep him „faithful‰ to me since I am no longer interested. (Something you should know about my husband; he is a popular musician and is often confronted with opportunities for sex at shows, but I am confident that he hasn‚t cheated on me). It is obviously a disturbing experience to get up and find him doing this, and although he is not physically cheating, I still feel hurt and disrespected on these occasions. I basically want an outsider‚s point of view on whether I should accept this as part of the man I fell in love with and married, reject it on the grounds of how I feel (although I have a hard time with the thought of leaving him over it), or if we should try to work out some sort of compromise. I would like to come up with some way where he can feel fulfilled and I can be a part of it, without making me uncomfortable, but haven’t been able to (not asking you to figure out what that would be for me, just mentioning it). Thank you very much for your time and help with this issue.","I decided I wasn‚t going to join him again due to the uneasy feeling it gave me which kept me from enjoying myself. Ever since, I have known in the back of my mind that he still does this. believing that it helps keep him „faithful‰ to me since I am no longer interested.",Personalization,
"I started going to therapy in December, after 3 other failed attempts. I’ve been consistent in going, and have really developed a rapport with my therapist. In my past, I have not been forthcoming with my feelings. I tend to hide, makeup stories of trauma to help cope with things that have happened. I was violently raped in college, and never told anyone about it.",,No Distortion,
" I read a question that was similar to the one I have, but I did not believe it could fully be used for my situation. Both my girlfriend and me are 20 years of age. We have been together since July 2nd 2010, and it is March 28th 2011. We were friends for many years before we started dating but due to both of us moving around we were not able to have a relationship. She is everything I ever wanted in a woman and I am so happy to have her in my life. I had no sexual interactions what so ever before I was with her, she is my first in everything. Unfortunately, I am not her first in many things, if anything at all, and that is very hurtful and distressing to me. When she was growing up her parents neglected and even abused her. She was molested on several occasions, but never by a family member. Her life has not been one of happiness and is full of past pains that plague her to this day. She never felt loved or cared about by anyone, and sought out relationships to fill this void. Her first sexual experience was with a female, they were friends and one night during a sleep over her friend put her hand down my girlfriends pants and began feeling around down there. My girlfriend said she did it back to her friend. She was bisexual for a while and dated a few girls, but never did anything for that kiss them. Though not often she claims. Her first sexual experience with a boyfriend was when she was 14 and the guy she was dating asked her to “touch him”, and so she did. She says she didn’t want to but did it to make him happy. In her next relationship she let him suck on her breasts and finger her, she touched him but while he had pants on so there was no contact with his penis. In her third relationship she also let him finger her and she gave him a hand job as well. In her last relationship she went out with this guy for 2.5 years and she really loved him. He was the first she gave oral sex to, and they did everything together. He fingered her; she gave him many hand jobs and lots of oral sex. She wanted to have sex and so did he, but she brought it up to him. They agreed and she claims that he only penetrated her a little bit before finishing, so she doesn’t believe she lost her virginity. He claims that every time they tried, which both him and her say was 3 times, that they had full intercourse but she swears that after that first time having failed, and the other two times they never got past being naked, none of the times they ever had full intercourse. I don’t know if she’s trying to protect me because she knows how bad it would hurt me if they actually did, or if she really didn’t have full on sex with him. I know her was able to penetrate her at least somewhat so I also have issues with whether she was still a virgin the first time we had sex.","I don’t know if she’s trying to protect me because she knows how bad it would hurt me if they actually did, or if she really didn’t have full on sex with him.",Mind Reading,
"It really just occurred to me recently. I’ve always had vague, small, random memories of it in my mind over the past few years. I knew it was my life, I never gave it much thought. But recently I started thinking about it more and I realized those vague memories were kind of all I had now.",But recently I started thinking about it more and I realized those vague memories were kind of all I had now.,All-or-nothing thinking,
"Could my boyfriend (age 24) be Bipolar? He does have episodes of depression and acts completely different when he is with his friends. I feel like he has split personalities. Many times he doesn’t remember tasks he completed days ago. We are at a stressful time in our relationship which includes the 6 month old baby. We used to be best friends and still today sometimes we enjoy time shared with the baby, but I see more and more he has no idea of what I’m referring to because he asks, “huh?” all the time. There has been lingering problems. About two years ago he was photographed in an almost orgy like sexual setting. However, he still insists and believes I (age 23) am the only girl he has ever kissed or hugged despite the pictures. It gets worst. There is another female who claims to have had a yearlong relationship with him that resulted in a baby! I believe her, and her child is two months older than mine. When I ask him he has no idea who the person is. I have even talked to the ex-girlfriend and one phone partner without his knowledge. He really thinks our relationship is fine. He loves our son and would do anything to take care of him, and he is happy to celebrate our would be 7 year boyfriend girlfriend relationship. He calls us his “family” and asks for us soon as he comes home from work. When I threaten to leave him he cries about how lonely he is and that he wants to kill himself. But, I still find him secretly texting girls on the phone that are listed under boy names. I really don’t understand any of this and I’m falling deeply into depression myself that along with the baby weight I can’t shed. If I ask him for the truth he will simply look me in the face and tell another lie. {I can’t bear it, seriously.}","I feel like he has split personalities. Many times he doesn’t remember tasks he completed days ago. We are at a stressful time in our relationship which includes the 6 month old baby. We used to be best friends and still today sometimes we enjoy time shared with the baby, but I see more and more he has no idea of what I’m referring to because he asks, “huh?” all the time. There has been lingering problems. I really don’t understand any of this and I’m falling deeply into depression myself that along with the baby weight I can’t shed. If I ask him for the truth he will simply look me in the face and tell another lie. {I can’t bear it, seriously.} ",Mind Reading,Overgeneralization
"7 weeks ago my wife had a full hystorectomy done because she had really bad abdominal pains. almost 2 weeks ago (wednesday) i came home from work and she was crying and was very emotional and wouldnt stop talking about her past and her family. i expected this kind of behavior considering the surgery and comforted her. this went on for a few days. then she became fully convinced that our neighbor (her best friend) wanted her to call child protective services on her husband because of abuse. the strange thing was she never actually talked to friend about it. this idea then began taking over everything she did and she couldnt really fuction and was confused a lot of the time. we also have twin boys which are 3yrs of age and she is a stay at home mother. so finally her friend and i sat her down and had a long talk about her conserns regaurding her friend’s family (sunday). everything seemed to be fine after that..for a couple days. tuesday afternoon hit and i was to be away on a trip for 10 days. i thought she was fine. she was acting like herself again. well on wednesday i got a call from my fist sergeant (i am in the air force) saying my wife was on base and asking for help because her friend’s husband was trying to hurt our kids. she thought that while she and our boys were sleeping he broke into our house, physically abused my sons, then left. she was convinced that my boys have bruises on them. well, she was escorted to the ER and i called a buddy of mine to watch the boys for me untill i was able to catch the next flight back home. she has been in the hospital for 4 days and they are still trying to figure out what is wrong with her. this was out of the blue. i mean it was like a light switch that went off in her head. even when i go and visit her she is absolutely convinced that her friend’s husband is trying to hurt our boys. when in fact is our boys were never hurt and he isnt an abuser. i guess my question is what can cause this. she was normal up untill that one night i came home from work. i miss my wife.",,No Distortion,
"I have always suffered from performance anxiety, social anxiety, and a certain degree of manic-depression. However I am very smart/talented and was very successful in high-school and attended a top university. I was very unhappy there and almost dropped out despite good grades. I was briefly treated for anxiety caused by a prescription drug and this treatment made me happy, outgoing and popular, but also manic and sexually dysfunctional. During this time I was recruited to many great jobs but was scared to take them and instead started my own dot-com business. However once off the treatment my anxiety/depression returned and the business did not develop too much. Eventually it failed and it became just me working for one of our clients. This spanned 15 years since college and overall it provided a pretty good income in a low-stress environment although I had to work from home and it was very lonely.",During this time I was recruited to many great jobs but was scared to take them and instead started my own dot-com business.,Fortune-telling,
"I don’t know what to do. I have been seeing my therapist for 3 years. I suffer with body image issues and distorted eating. My therapist has always been thin/healthy. Sometimes her weight drops and I am very sensitive to it. We have talked about it before and I am very open with it if I feel triggered by her. I saw her today and she looks like an eating disordered patient. She said she is aware of it and working on it. She said she has medical issues that make her body do things if she’s not careful and stress plays a part. I believe she is OK and she will work at getting back up to a healthy weight, but its really hard for me to make sense of. Why can she look like that but I have to work to keep myself healthy? Why are such high expectations put on me that she doesn’t live up to? She is my biggest role model, and all I can think of at this moment is starving myself until I look like her. She is happy, successful, smart, has a family and is pretty. She said, “I hope you’re not jealous of this (her body)” and she said that she wished she was in a different place. I just can’t get the picture of her out of my mind. Oh and she’s been getting sick a lot recently. It scares me. I want her to be healthy. She’s MY motivation to be healthy. But when she’s not…my motivation goes away and I want to restrict. How do I make sense of this?","Why can she look like that but I have to work to keep myself healthy? Why are such high expectations put on me that she doesn’t live up to? She is my biggest role model, and all I can think of at this moment is starving myself until I look like her.But when she’s not…my motivation goes away and I want to restrict.",Magnification,All-or-nothing thinking
"I’ve been having problems for a while. I am highly disorganized, I have a fear of social situations but have a strong desire for them at the same time if that makes sense. I’ve tried being in talk therapy for those issues, not that much has come of it, however I’ve always been too scared to tell my therapist about other issues. I sometimes see images in the corner of my eye, a face in a window and then its gone, or a person standing on the side of an empty road and when I look in the mirror, nothing. I’m not sure if I’m seeing things or just thinking I see things, I’m concerned with being diagnosed with schizophrenia or something like that. I’m high functioning, about a 3.2gpa in college and I keep burying the issue in fear that treatment might intrude in my school life. I also hear music sometimes and have taken to writing it down as compositions, would this be a hallucination as well? I don’t compose the music, I literally hear it as if it were being played in the same room as me, would this be a symptom of something?","I am highly disorganized, I’m concerned with being diagnosed with schizophrenia or something like that",Labeling,Mental filter
"My boyfriend of three years and I have had a rocky relationship. We enjoyed the usual bliss when we first got together, however after talk of serious commitment came up and we moved out together last year, I saw an ugly side of him rear up! He mentally and physically abused me, and I felt trap with him because of our lease and my continued feelings of conflicted affection and love for him. Finally, after he told me that he wanted to break up last October, despite still living together, I began to mentally distance myself from him to avoid being hurt furthermore.",,No Distortion,
"I was born with Attention Deficit Hyperactivity Disorder, O.C.D. and I am also transgendered. As a result, I was a very difficult child to raise. There was constant fighting between myself and my parents. At the age of ten, I was sent away to an institution for two years. While there, I was physically, emotionally, and sexually abused. I couldn’t talk to anyone because I had no trust in adults. When I returned home, the same previous problems existed. I was sent away again at the age of seventeen. I felt no love whatsoever and would not until I was 25 years old.",I was a very difficult child to raise. There was constant fighting between myself and my parents.I couldn’t talk to anyone because I had no trust in adults.,Overgeneralization,Personalization
"I am worried because I have never been able to make friends very easily. When someone tries to talk to me, I get so nervous about what they think of me that I end up seeming uninterested or maybe even snobby, probably. Im always thinking that people are talking behind my back or thinking badly of me. Whenever someone in whispering to another person, I pretty much assume that they are talking badly about me, and I panick.At school, I get so caught up worrying if I smell bad or If my makeup is smeared I immagine everyone is looking at me funny. I dont even really show any emotion, either, when im around people(especially when I am anxious). I dont talk to people about how I feel because It makes me feel vulnerable, I guess. My anxiety used to be worse a couple of years ago, but now im just paranoid. Im always thinking that people think im a loser, and I wont leave the house without makeup, because i am horrified about what other people think about me.","When someone tries to talk to me, I get so nervous about what they think of me that I end up seeming uninterested or maybe even snobby, probably. Im always thinking that people are talking behind my back or thinking badly of me. Whenever someone in whispering to another person, I pretty much assume that they are talking badly about me, and I panick.At school, I get so caught up worrying if I smell bad or If my makeup is smeared I immagine everyone is looking at me funny.Im always thinking that people think im a loser, and I wont leave the house without makeup, because i am horrified about what other people think about me.",Mind Reading,
"Ten months ago I met my girlfriend(now-ex), it wasn’t love at first sight or anything like that, but I did fall in love with her 2-3 months later. In her defense, she did tell me that she was bipolar, however it was not a mild case as she told me. She was the sweetest person, made me feel like I was the king of the world for the first 3 months.",,No Distortion,
" I have been dating this guy for about three months now. In the beginning of our relationship, everything was perfect and I trusted him whole-heartedly. Up until recently I’ve been very suspicious and my trust just keeps going down. I started to lose trust when finding a text message in his phone from someone calling him “babe” on Valentines Day. He said it was nothing like that, and I asked to see the rest of the messages from that person but he said no because he thought that would change the dynamics of our relationship and that I am supposed to just trust him, so I let it go. Ever since that occasion it’s been so hard for me to trust him like I did in the beginning. He’s constantly texting some person in his phone and I’m 99% sure it is a female, which does not bother me. But what does bother me is that for some reason I have this gut instinct that this female he is constantly texting is someone he is involved with. When I sit and ponder on that idea I think to myself, “He doesn’t even have time to spend with other women, he’s always so busy.” But I almost feel like I’m convincing myself because I just have this feeling inside. On top of all of this my mother and a few of my close friends don’t really trust this guy or particularly care for him too which makes it even harder for me as well. I’m wondering how you feel about this situation? Should I end this relationship before I get hurt or wait it out and see if it can really become as good as I thought it could?","everything was perfect and I trusted him whole-heartedly. Up until recently I’ve been very suspicious and my trust just keeps going down. I started to lose trust when finding a text message in his phone from someone calling him “babe” on Valentines Day. He said it was nothing like that, and I asked to see the rest of the messages from that person but he said no because he thought that would change the dynamics of our relationship and that I am supposed to just trust him, so I let it go. Ever since that occasion it’s been so hard for me to trust him like I did in the beginning. But I almost feel like I’m convincing myself because I just have this feeling inside. Should I end this relationship before I get hurt or wait it out and see if it can really become as good as I thought it could?",Mental filter,Emotional Reasoning
About a year ago I had an affair with a girl that I have broken off and had no contact with for said time. I have done everything in my power to prove to my girlfriend that I’m faithful now. Almost on a daily basis she accuses me of doing stuff behind her back to the point that I’m ready to leave her.,,No Distortion,
"I am new here… I have today received news on my sister. She attempted to commit suicide, she has been complaining about every single aspect of her life and also stated that she is depressive. She mentioned to me a while ago that she considered taking her life and I tried my best to help her by being there for her. Seeing we don’t live in the same country it is difficult for me to be there 24/7. My family that is nearer to her don’t seem to understand she needs help instead of supporting her they cast her out and even go to the extent of telling her if u want to kill yourself do it don’t call us, I find that a bit harsh.",,No Distortion,
"As I’ve been becoming older, I’ve been getting into arguments with my parents. But recently they’ve been happening more and more frequently and I’ve been getting more and more angry each time. Each argument has been about the same major topics: my behavior towards my siblings or how I “disrespect” my parents. But sometimes I can’t help what I say to my parents. If they’re in my face yelling about what I just said or how I forgot to do something, how can I not yell back? My parents say its disrespect, but I feel that they have no respect for me when they’re yelling in my face. But the topic we argue most about is my little brother. He’s 7 and if I do the slightest thing to him he goes and tells and I get the whole “you’re older and need to grow up speech”. I’m sick of it. I feel that they can’t see that my little brother does things that really bother me, and I’m not being dramatic. Like today, my little brother does this thing where he just touches me. I HATE when he does this because it’s COMPLETELY unnecessary. So I hit him back, not that hard just a slap in the arm. Just so happens my dad was walking by at the same exact time. When he saw this he immediately got in my face, hit my arm (and I had to fight back the urge to hit my dad right back), and started giving me a speech (which during I was completely being a smart aleck because I felt this whole thing was not my fault). When my mother got home I got the same speech from her, but she just didn’t understand how I felt! Then while I was in the room right next to the kitchen they started to discuss what they should do to that “devil”. But my defense is that my little brother is just very dumb and a wimp and that my parents baby him too much. But to avoid these confrontations I feel the only way to do this is to COMPLETELY IGNORE my whole family. I’ve been doing this by sleeping all day and my schoolwork is suffering, I also barely eat because of sleeping all day. But these arguments always seem to find their way into my life. Is there any way to get my parents to understand me? How do I deal with 7-year-old brother? Can I just keep ignoring them? Please do not treat his as a teenager being dramatic, this is a serious cry for help. After some of these arguments I’ve hurt myself. I scratched my arm with tweezers and today I dug my own nails into my arm. Some of these arguments have resulted in me almost getting smacked in the face by my dad. I’ve also cried for hours before. So please I’m begging for help.","But sometimes I can’t help what I say to my parents. If they’re in my face yelling about what I just said or how I forgot to do something, how can I not yell back? My parents say its disrespect, but I feel that they have no respect for me when they’re yelling in my face.But to avoid these confrontations I feel the only way to do this is to COMPLETELY IGNORE my whole family. I’ve been doing this by sleeping all day and my schoolwork is suffering, I also barely eat because of sleeping all day. But these arguments always seem to find their way into my life.",Emotional Reasoning,All-or-nothing thinking
"I had naturally been apprehensive to meat when I was younger. I liked to eat, but I didn’t really like meat (aside from the taste). Then, 6th grade came along, and I started having problems: depression, (the past, not now) suicidal and many other things. Along with that, a lot of changes were entering my life: I was about to enter junior high, and I had insomnia. Then, I decided to become vegetarian and anorexic. To tell you the truth, I wasn’t a complete vegan at first. I was “98% vege”, meaning that I ate hotdogs/hamburgers/chicken nuggets/bacon/top ramen soup. In seventh grade, I became full-fledged vege, and continued to have problems. In eighth grade, I turned my life around, and was the food nazi: no food additives, no meat, healthy as you can be.","Then, I decided to become vegetarian and anorexic. To tell you the truth, I wasn’t a complete vegan at first. I was “98% vege”, meaning that I ate hotdogs/hamburgers/chicken nuggets/bacon/top ramen soup. In seventh grade, I became full-fledged vege, and continued to have problems. In eighth grade, I turned my life around, and was the food nazi: no food additives, no meat, healthy as you can be.",All-or-nothing thinking,
My boyfriend and I have been together for a little under 4 years. When we first started the relationship I tried to be upfront and honest that I struggled with emotional connection and affection. I cared for him so much that I decided to see a therapist to remedy some issues that I had locked away for years. Needless to say after I opened the flood gate memories came rushing back.,,No Distortion,
"I have been in love with one guy for the past 8 years. We also had a 3 yr long distance relationship. But we made it through all odds and are now going to get married by end of this year. But during my long distance, I met another guy and I fell in love with him. We ended it within a couple of months because he is married. But even after 2 years, I still have feelings for him and he has expressed his love several times and is willing to leave his wife. I am confused what I should do. I think I love both of them. I cant hurt my to-be husband and our families but I also feel I will have a better life with the other. I know this is very selfish of me but I am really torn apart, so please help.",,No Distortion,
"My fiance and I were together for 7 years. We had the storybook romance: we were always happy, never argued, never tired of each other, and all of of friends and family looked at us as having the perfect relationship. Life could not be better for the two of us.","We had the storybook romance: we were always happy, never argued, never tired of each other, and all of of friends and family looked at us as having the perfect relationship",Labeling,
