Serial_Number	zh	en
057	我相信的话一个好的理财的话是，嗯能改变自己生活质量的	I believe that good financial management can improve lives.
058	要买要买车买房啊，或者买一些其他东西，然后涉及到钱资金不够，然后肯定也要找银行贷款对吧	If you want to buy a car, a house, or some other things, while you don't own enough money, you will be asking for a bank loan, right?
059	它也不是说问题不大，就完全没有问题影响的，因为你自己信用信用额度，它不是根据你开了多少张信用卡	A small problem doesn't equivalent to no problem, because your line of credit is not based on how many credit cards you have.
060	比如说证券从业资格证，银行从业资格证	for example, the broker-dealer qualification certificate, the banker certificate
061	其实买保险呢，我觉得也是有好处的，你平时就当做是存钱嘛	Actually, I think buying insurance is also beneficial. You can regard it as saving money.
062	怎么样的才算理赔，什么样才不算理赔	What is a claim, what is not?
063	确定规划，然后选择合适的商业保险	Make a plan, and then choose appropriate commercial insurance.
064	税呀之类的大概五十万，首付五十万，然后要还二十年的贷款	With a tax of approximately 500 thousand yuan, a down payment of 500 thousand yuan, you have to repay a loan for 20 years.
065	而且保险这个覆盖面很全的	And this insurance has very broad coverage.
066	上到八十岁，下到八岁都可以投保	One aged up to eighty and down to eight can be insured.
067	保险就是越来越正规，越来越规范	Insurance has been becoming more formal and more standardized.
068	所以说呢，现在还是买保险的这个普及率啊，基本上已经达到了百分之八十以上	So, now the penetration rate of having insurance is basically over 80%.
069	因为在我们国家来说，保险起步的相对于西方国家来说确实比较晚	Because in our country, insurance started relatively late in comparison with Western countries.
070	他那个直接绑定那个银行卡的，信用卡或者是储蓄卡都可以	The one directly bound to the bank card, either a credit card or a debit card can be used.
071	就是在你投保的时候，你自己是不能有这些传染病的嘛	When you apply for insurance, you can't have these infectious diseases.
072	现在就是报销的比例提高了以后，加上这个商业保险，作为一个补互补	Now the reimbursement rate has been raised, plus commercial insurance as a supplement.
073	利息高达百分之一百五十以上的那种	that kind with an interest rate reaches 150% or more
074	从法律角度来看呢？保险又是一种合同行为	From a legal point of view, insurance is another contractual action.
075	慢慢接触以后我才发现，确实有必要就是入一份保险的，对于自己的孩子了什么的都是有一份保障	I slowly realized that it is indeed necessary to get insurance, which is a sort of security for myself and my children.
076	生育保险和基本医疗保险合并了	Maternity insurance and basic medical insurance are combined.
077	搭配保险是捆绑销售，其实可以自由搭配	An insurance bundle is a kind of tie-in sale, in fact, you can make a free match.
078	但是由于人的生命和身体价值难以估计，所以人身保险并不适用该原则	However, since it is difficult to estimate the value of human life and body, life insurance does not apply this principle.
079	保险事故发生被保险人所得的赔偿金，是由保险公司和被保险人共同分担	After an accident, the compensation the insured received shall be shared by the insurance company and the insured.
080	建立保险制度的目的就是为了对付特定危险事故的发生	The purpose of establishing an insurance system is to deal with specific accidents.
081	不在可保范围内，因此商业保险机构一般不承担此类保险	Not in the insurable range, so commercial insurance institutions generally do not underwrite this.
082	比如说你出交通事故，你撞到人了，然后需要赔付一定的金额	For example, if you met with a traffic accident, someone was hit, and you, therefore, need to pay a certain amount.
083	比如说很简单的一个例子，比如说发生了地震，火灾你觉得保险公司会给你赔付吗	For example, a very simple example, such as an earthquake or a fire occurred, do you believe the insurance company will compensate you?
084	具有盈利性商业保险是一种商业行为	Commercial insurance is profitable, and it is a commercial activity.
085	从法律意义上来说，保险是一种合同行为	Legally, insuring is a contractual action.
086	就是通过签订保险合同，明确双方当事人的权利与义务	Through signing an insurance contract, the rights and obligations of both parties are clarified.
087	被保险人以缴纳保费以获取保险合同规定范围内的赔偿	The insured pays premiums to obtain compensation within the scope of an insurance contract.
088	保险公司不会给你赔付任何的金额	The insurance company will not pay you compensation in any amount.
089	社会保险就是强制要交的五险一金	Social insurance means the five social insurance and the housing provident fund which are mandatory.
090	通过银行的基准利率的一个调整呢	through the change of the benchmark interest rate
091	嗯，发放贷款像给一些企业啊，房地产商啊	Well, issue loans to some companies, like real estate companies.
092	消费分期拯救了苹果百分之三十的市场份额	Installments consumption saved 30% of Apple's market share.
093	嗯一年的话，保费的话交多少钱呢	Um, how much will you pay for the premium for a year?
094	你家的车买的什么的保险	What kind of insurance does your car have?
095	但是保险公司会理赔呀	But the insurance company will settle the claim.
096	蚂蚁保险不止有车险，我看到上面也有各种。	Ant Insurance does not only offer car insurance, but I have also seen a variety of insurance.
097	但是买房子呢，除了一笔首款付下去之后，每个月的贷款相当于租金	However, when buying a house, except for the down payment, the monthly mortgage is equivalent to rent.
098	这种的投资性的理财，对于个人的财产来说，是具有一定风险	This kind of financial investment has certain risks for personal property.
099	如果说你的投资方向正确，那么它是远比存款这一方面要具有更大的优势	If your investment orientation is right, then it has a far greater advantage than deposits.
100	多一份保险就是多一份保障	One more insurance means one more protection.
